Run #,Spindle speed,Feed Rate,Depth of cut,Response
1,645,0.0625,0.1,TBD
2,645,0.0625,0.1,TBD
3,645,0.0625,0.1,TBD
4,645,0.125,0.2,TBD
5,645,0.125,0.2,TBD
6,645,0.125,0.2,TBD
7,645,0.25,0.3,TBD
8,645,0.25,0.3,TBD
9,645,0.25,0.3,TBD
10,1000,0.0625,0.2,TBD
11,1000,0.0625,0.2,TBD
12,1000,0.0625,0.2,TBD
13,1000,0.125,0.3,TBD
14,1000,0.125,0.3,TBD
15,1000,0.125,0.3,TBD
16,1000,0.25,0.1,TBD
17,1000,0.25,0.1,TBD
18,1000,0.25,0.1,TBD
19,1285,0.0625,0.3,TBD
20,1285,0.0625,0.3,TBD
21,1285,0.0625,0.3,TBD
22,1285,0.125,0.1,TBD
23,1285,0.125,0.1,TBD
24,1285,0.125,0.1,TBD
25,1285,0.25,0.2,TBD
26,1285,0.25,0.2,TBD
27,1285,0.25,0.2,TBD